[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: documents_active in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 198, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. show_sidebar() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:21, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 775, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.450002 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'permRepID' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 775, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: where_clause in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 776, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451067 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. line_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:84, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: permrep_obj in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:106, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Trying to get property 'permRepID' of non-object in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 694, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. pie_chart_data_and_labels() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:106, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.451998 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined variable: where_clause in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 695, referer: http://foxtrot_online:2000/dashboard.php
